"ts","x","y","z"
2.604770834E-2,-9.482373483E-3,6.269939244E-2,-3.814970702E-2
4.614370833E-2,-1.407928169E-1,7.706581801E-2,-4.668737575E-2
5.619170833E-2,-1.642495543E-1,1.078591421E-1,-4.666877910E-2
6.623970834E-2,-1.775701493E-1,1.133886650E-1,-4.972022772E-2
7.628770833E-2,-1.684169322E-1,1.208830848E-1,-6.618814170E-2
8.633570833E-2,-1.470634490E-1,1.157783344E-1,-9.825686365E-2
9.638470833E-2,-1.378817409E-1,1.521853209E-1,-1.151828989E-1
1.064328333E-1,-1.674588174E-1,2.313168943E-1,-1.037672609E-1
1.164808333E-1,-2.374345511E-1,3.187775016E-1,-7.047264278E-2
1.265288333E-1,-3.072485328E-1,3.699983358E-1,-2.638854086E-2
1.365768333E-1,-3.615238070E-1,3.319364488E-1,2.519053407E-2
1.466248333E-1,-3.660469055E-1,2.761125863E-1,8.294463903E-2
1.566728333E-1,-3.331408203E-1,2.275269628E-1,1.268328130E-1
1.667208333E-1,-2.963553667E-1,1.910749525E-1,1.590205729E-1
1.767688333E-1,-2.557181418E-1,1.532623172E-1,2.203049511E-1
1.868178333E-1,-2.018085569E-1,8.204859495E-2,2.601149380E-1
1.968658333E-1,-1.563828588E-1,2.088771202E-3,2.462756336E-1
2.069138333E-1,-1.262979358E-1,-4.565931112E-2,2.350275069E-1
2.169618333E-1,-1.050470918E-1,-1.193686947E-1,2.187548578E-1
2.270098333E-1,-1.002129242E-1,-1.670419276E-1,2.245738655E-1
2.370578333E-1,-1.169143692E-1,-1.393045336E-1,2.439621091E-1
2.471058333E-1,-1.622328460E-1,-1.205737293E-1,2.628559172E-1
2.571538333E-1,-2.137892991E-1,-8.847948909E-2,2.798157930E-1
2.672018333E-1,-2.558650970E-1,-5.493750423E-2,3.089294732E-1
2.772508333E-1,-2.750184834E-1,8.982648142E-3,3.574590087E-1
2.872988333E-1,-3.028229475E-1,7.154110074E-2,4.202944338E-1
2.973468333E-1,-3.359351456E-1,1.251641065E-1,4.728826880E-1
3.073948333E-1,-3.848869503E-1,1.994748265E-1,5.116418004E-1
3.174428333E-1,-4.412271976E-1,2.927762866E-1,5.375301242E-1
3.274908333E-1,-4.950281084E-1,4.229433537E-1,5.056784153E-1
3.375388333E-1,-5.491727591E-1,5.988049507E-1,4.427460730E-1
