"ts","x","y","z"
1.851170833E-2,-4.340074768E0,-1.373394012E0,8.224497070E0
2.855970833E-2,-4.009711761E0,-1.276395721E0,8.188422089E0
3.860770832E-2,-3.810775452E0,-1.265917511E0,8.137527924E0
4.865570833E-2,-3.827989655E0,-1.362167358E0,8.208330688E0
5.870370833E-2,-3.940256195E0,-1.363664246E0,8.246201935E0
6.875170833E-2,-3.875890045E0,-1.295256500E0,8.280780029E0
7.879970832E-2,-3.746858368E0,-1.318308563E0,8.455766144E0
8.884770834E-2,-3.707340546E0,-1.550924835E0,8.588390350E0
9.889683333E-2,-3.809577942E0,-1.669328613E0,8.526718597E0
1.089448333E-1,-4.081113281E0,-1.662293243E0,8.344098358E0
1.189928333E-1,-4.400998077E0,-1.659598846E0,8.183332672E0
1.290408333E-1,-4.490212555E0,-1.671573944E0,8.070018311E0
1.390888333E-1,-4.518354034E0,-1.631607056E0,8.041427765E0
1.491368333E-1,-4.514611816E0,-1.652563477E0,8.285869446E0
1.591848333E-1,-4.490362244E0,-1.619033203E0,8.561147003E0
1.692328333E-1,-4.404291229E0,-1.460512848E0,8.711584167E0
1.792808333E-1,-4.547393646E0,-1.376986542E0,8.772657166E0
1.893298333E-1,-4.589905243E0,-1.531016235E0,8.794811096E0
1.993778333E-1,-4.357887726E0,-1.692530365E0,8.848249969E0
2.094258333E-1,-4.240531769E0,-1.735341339E0,9.012159119E0
2.194738333E-1,-4.320465546E0,-1.801054688E0,9.022637329E0
2.295218333E-1,-4.397106171E0,-1.795366516E0,8.818012848E0
2.395698333E-1,-4.503385162E0,-1.675316162E0,8.676557007E0
2.496178333E-1,-4.549638977E0,-1.546583862E0,8.452922058E0
2.596658333E-1,-4.415817261E0,-1.617835693E0,8.272098083E0
2.697148333E-1,-4.322112122E0,-1.736538849E0,8.164322205E0
2.797628333E-1,-4.353097687E0,-1.705403595E0,8.045619049E0
2.898108333E-1,-4.382736053E0,-1.813179474E0,7.858807526E0
2.998588333E-1,-4.314028931E0,-1.957629089E0,7.618706818E0
3.099068333E-1,-4.117038574E0,-1.913620605E0,7.378606110E0
3.199548333E-1,-4.090094604E0,-1.843865662E0,7.236551514E0
3.300028333E-1,-3.876339111E0,-1.881287842E0,7.155270538E0
3.400508333E-1,-3.584146729E0,-1.974094849E0,6.990163879E0
3.500988333E-1,-3.324736176E0,-2.026336212E0,6.686445465E0
3.601468333E-1,-3.275338898E0,-2.204914856E0,5.804928589E0
3.701958333E-1,-3.101849670E0,-2.383643188E0,5.047952728E0
3.802438333E-1,-3.018622742E0,-2.607128448E0,5.347030792E0
3.902918333E-1,-3.424428864E0,-3.023562469E0,5.524860992E0
4.003398333E-1,-3.432362366E0,-3.264261932E0,5.472469940E0
4.103878333E-1,-3.820804596E0,-3.670068054E0,5.504353638E0
4.204358333E-1,-4.765639801E0,-4.026776276E0,5.625152435E0
4.304838333E-1,-5.742059326E0,-3.819457397E0,5.727090454E0
4.405318333E-1,-6.884333954E0,-3.789519653E0,6.124364319E0
4.505808333E-1,-7.785609741E0,-4.145928497E0,6.466552734E0
4.606288333E-1,-8.723409576E0,-4.273463287E0,6.704557800E0
4.706768333E-1,-9.373507690E0,-3.846850433E0,7.619604950E0
4.807248333E-1,-9.434730377E0,-3.377576294E0,8.295898590E0
4.907728333E-1,-9.820777588E0,-3.432811432E0,8.277187500E0
5.008208333E-1,-1.031235535E1,-3.808380432E0,8.412655792E0
5.108688333E-1,-1.024170227E1,-3.948489075E0,7.957602081E0
5.209168333E-1,-1.041863434E1,-3.884871368E0,7.065457306E0
5.309648333E-1,-1.059601547E1,-3.662583618E0,6.813381500E0
5.410138333E-1,-1.020038818E1,-3.657494202E0,6.382128296E0
5.510618333E-1,-1.034872971E1,-3.942351837E0,5.569168854E0
5.611098333E-1,-1.087054459E1,-3.878734131E0,5.437592468E0
5.711578333E-1,-1.110226273E1,-3.751049652E0,5.132377167E0
5.812058333E-1,-1.165775757E1,-4.048032074E0,5.253625031E0
5.912538333E-1,-1.192959229E1,-3.913162537E0,5.664221191E0
6.013018333E-1,-1.169128784E1,-3.388353882E0,5.506748657E0
6.113498333E-1,-1.161674286E1,-3.391647034E0,5.423521729E0
6.213978333E-1,-1.074794952E1,-3.348686371E0,5.264552307E0
6.314468333E-1,-9.879754944E0,-2.932701416E0,4.732259216E0
6.414948333E-1,-9.380992126E0,-2.681523743E0,4.234544220E0
6.515428333E-1,-8.838071136E0,-2.621797943E0,3.775748291E0
6.615908333E-1,-8.650511169E0,-2.348616028E0,3.340004425E0
6.716388333E-1,-8.262817383E0,-2.210153961E0,3.019520874E0
6.816868333E-1,-7.259902954E0,-2.060165863E0,3.804937592E0
6.917348333E-1,-3.488046570E0,-4.574487305E-1,6.270310822E0
7.017828333E-1,-2.638413391E0,-3.218307495E-2,7.289840698E0
7.118308333E-1,-5.667664032E0,-1.333876190E0,7.571704559E0
7.218798333E-1,-7.613467712E0,-2.360890503E0,7.302713928E0
7.319278333E-1,-7.508685608E0,-2.646047516E0,6.046526184E0
7.419758333E-1,-7.292235718E0,-2.875520325E0,4.540058899E0
7.520238333E-1,-8.237070923E0,-2.580034790E0,3.653003540E0
7.620718333E-1,-9.498946838E0,-2.381397858E0,2.966231689E0
7.721198333E-1,-1.005818390E1,-2.433938599E0,2.638114014E0
7.821678333E-1,-1.052117111E1,-2.151625671E0,2.765050049E0
7.922158333E-1,-1.045575714E1,-2.146985321E0,2.634371796E0
8.022638333E-1,-9.730066223E0,-2.160457306E0,1.917512512E0
8.123128333E-1,-9.413474579E0,-1.939367065E0,1.263073425E0
8.223608333E-1,-9.761949921E0,-1.746567993E0,9.984237671E-1
8.324088333E-1,-1.006267456E1,-1.725461884E0,1.044378204E0
8.424568333E-1,-1.022972717E1,-1.258133698E0,1.617536316E0
8.525048333E-1,-1.043315414E1,-9.243278503E-1,1.959575043E0
8.625528333E-1,-9.775272217E0,-1.433419189E0,1.949096832E0
8.726008333E-1,-8.733139343E0,-1.548380127E0,1.880240021E0
8.826488333E-1,-8.045768738E0,-1.320703583E0,2.396666107E0
8.926968333E-1,-7.697892151E0,-1.264420624E0,3.027304688E0
9.027458333E-1,-8.127798157E0,-1.116528168E0,3.644321594E0
9.127938333E-1,-8.683891754E0,-8.440946960E-1,4.224515076E0
9.228418333E-1,-7.966882782E0,-1.256038055E0,4.144730988E0
9.328898333E-1,-7.816146240E0,-9.460327148E-1,3.349584503E0
9.429378333E-1,-8.693471832E0,-9.952803040E-1,2.754571838E0
9.529858333E-1,-8.986562347E0,-1.262923737E0,2.313439178E0
9.630338333E-1,-9.322014771E0,-9.569599915E-1,2.110610962E0
9.730818333E-1,-1.050934570E1,-4.370910645E-1,2.262395325E0
9.831308333E-1,-1.044976959E1,-2.481838989E-1,2.877466278E0
9.931788333E-1,-8.913065186E0,-7.277865601E-1,2.989134064E0
1.003226833E0,-8.870703278E0,-2.616558838E-1,2.323168945E0
1.013274833E0,-9.424401855E0,-1.029858398E-1,1.825753326E0
1.023322833E0,-8.998986511E0,-3.736230469E-1,1.509610748E0
1.033370833E0,-8.699908447E0,-3.730242920E-1,1.566941528E0
1.043418833E0,-8.884624329E0,-2.832110596E-1,2.177821198E0
1.053466833E0,-8.823401642E0,-3.013233948E-1,2.909799042E0
1.063514833E0,-8.622369690E0,-3.926335144E-1,2.923420715E0
1.073563833E0,-8.762777710E0,-4.887336731E-1,2.796185303E0
1.083611833E0,-9.400002594E0,-3.281176758E-1,2.983296204E0
1.093659833E0,-9.780661011E0,-4.450245667E-1,2.899320831E0
1.103707500E0,-9.995164948E0,-5.126838684E-1,2.631378021E0
1.113755500E0,-1.017359390E1,-6.759942627E-1,2.659220123E0
1.123803500E0,-9.865384827E0,-7.565267944E-1,2.558928680E0
1.133851500E0,-1.004770569E1,-4.935237122E-1,2.471510468E0
1.143899500E0,-9.749076691E0,-5.508544922E-2,2.625540161E0
1.153947500E0,-9.671537933E0,1.293310547E-1,2.453098755E0
1.163996500E0,-1.057416092E1,-2.613565063E-1,2.446362762E0
1.174044500E0,-1.204739731E1,-5.114863586E-1,2.779569855E0
1.184092500E0,-1.280452286E1,-1.111289062E0,2.965183868E0
1.194140500E0,-1.406654846E1,-1.501228180E0,2.355202332E0
1.204188500E0,-1.367825592E1,-8.113128662E-1,2.193089447E0
1.214236500E0,-9.885293427E0,-1.287322998E-1,1.753603363E0
1.224284500E0,-8.381221161E0,-5.550457764E-1,1.187031555E0
1.234332500E0,-7.115902405E0,-3.101550293E-1,6.376739502E-2
1.244380500E0,-7.877368927E0,1.228944397E0,2.694396973E-2
1.254429500E0,-8.682694244E0,1.418150940E0,1.049916687E0
1.264477500E0,-9.002279663E0,-1.643582153E-1,2.477647705E0
1.274525500E0,-9.864037628E0,-1.329086151E0,3.860472107E0
1.284573500E0,-9.236991577E0,-1.466949463E0,3.619173889E0
1.294621500E0,-8.479866028E0,-3.182382202E-1,8.303233337E-1
1.304669500E0,-8.237220612E0,8.652008057E-2,-6.288423157E-1
1.314717500E0,-9.392518158E0,8.211923218E-1,9.916877747E-1
1.324765500E0,-1.068463120E1,9.717791748E-1,2.623743896E0
1.334813500E0,-1.099044525E1,7.432044983E-1,2.922372894E0
1.344862500E0,-1.015593063E1,5.355862427E-1,3.072211304E0
1.354910500E0,-9.823022919E0,6.608757019E-1,2.702779541E0
1.364958500E0,-1.096679443E1,7.448510742E-1,2.402503967E0
1.375006500E0,-1.016670822E1,3.489244080E-1,2.844085693E0
1.385054500E0,-9.560019836E0,6.063890076E-1,2.253264313E0
1.395102500E0,-9.871821442E0,7.963439941E-1,2.347568207E0
1.405150500E0,-9.744586029E0,7.755372620E-1,3.400328979E0
1.415198500E0,-9.088500366E0,6.057902527E-1,3.845054169E0
1.425246500E0,-8.933123474E0,4.800517273E-1,3.477418671E0
1.435295500E0,-9.306147766E0,6.493496704E-1,3.187471619E0
1.445343500E0,-9.024433594E0,6.741979980E-1,2.838696899E0
1.455391500E0,-8.576265564E0,7.628137207E-1,2.298320618E0
1.465439500E0,-8.681945801E0,9.180409241E-1,2.567910004E0
1.475487500E0,-8.324189758E0,8.777746582E-1,3.070864105E0
1.485535500E0,-8.263715515E0,9.291178894E-1,3.031945038E0
1.495583500E0,-8.286468201E0,7.249424744E-1,2.631976776E0
1.505631500E0,-7.997269592E0,3.546125793E-1,2.445314941E0
1.515679500E0,-7.791896667E0,2.851570129E-1,1.936972046E0
