"ts","X (hPa)"
-5.335747917E-1,9.888773346E2
4.701242083E-1,9.888777924E2
1.473832208E0,9.888774872E2
3.500703333E0,9.888861847E2
4.504389333E0,9.888819122E2
5.508041333E0,9.888774872E2
6.511718333E0,9.888730621E2
7.515377333E0,9.888728333E2
7.869053333E0,9.888708496E2
8.939629333E0,9.888683319E2
1.001021933E1,9.888683319E2
1.108080133E1,9.888687134E2
1.215138133E1,9.888687134E2
1.322199833E1,9.888685608E2
1.429265133E1,9.888685608E2
1.536324333E1,9.888696289E2
1.643386433E1,9.888701630E2
1.750446133E1,9.888717651E2
1.857507233E1,9.888723755E2
1.964568833E1,9.888751984E2
2.071632633E1,9.888758087E2
2.178698333E1,9.888758087E2
2.285761533E1,9.888745117E2
2.392823533E1,9.888740540E2
2.499882733E1,9.888739014E2
2.606948533E1,9.888717651E2
2.714011733E1,9.888700867E2
2.821076833E1,9.888697052E2
2.928139433E1,9.888673401E2
3.035201033E1,9.888673401E2
3.142268633E1,9.888677979E2
3.249338233E1,9.888693237E2
3.356401933E1,9.888703156E2
3.463468133E1,9.888703918E2
3.570535133E1,9.888703918E2
3.677605433E1,9.888702393E2
3.784675433E1,9.888694000E2
3.891747633E1,9.888694000E2
3.998817833E1,9.888694000E2
4.105884933E1,9.888695526E2
4.212956333E1,9.888693237E2
4.320026533E1,9.888678741E2
4.427095433E1,9.888662720E2
4.534170233E1,9.888662720E2
4.641240733E1,9.888648987E2
4.748312533E1,9.888648987E2
4.855388033E1,9.888654327E2
4.962466033E1,9.888680267E2
5.069538533E1,9.888680267E2
5.176617333E1,9.888680267E2
5.283689533E1,9.888678741E2
5.390766633E1,9.888664246E2
5.497840133E1,9.888648987E2
5.604912033E1,9.888645172E2
5.711983633E1,9.888641357E2
5.819056933E1,9.888641357E2
5.926131133E1,9.888648987E2
6.033206233E1,9.888655090E2
6.140280633E1,9.888662720E2
6.247355333E1,9.888668823E2
6.354431133E1,9.888668823E2
6.461506733E1,9.888665009E2
6.568587133E1,9.888659668E2
6.675667333E1,9.888659668E2
6.782750033E1,9.888660431E2
6.889831233E1,9.888660431E2
6.996912433E1,9.888660431E2
7.103990333E1,9.888657379E2
7.211065533E1,9.888643646E2
7.318143033E1,9.888643646E2
7.425218733E1,9.888639069E2
7.532290433E1,9.888639069E2
7.639366733E1,9.888642883E2
7.746443733E1,9.888649750E2
7.853519933E1,9.888649750E2
7.960588233E1,9.888652802E2
8.067659033E1,9.888663483E2
8.174732633E1,9.888663483E2
