ts,bdaddress,rssi
0.003156423568725586,C0:1C:4D:47:C8:BD,-90
0.005077838897705078,C0:1C:4D:44:35:40,-83
0.006619453430175781,C0:1C:4D:47:67:94,-83
0.011398553848266602,C0:1C:4D:45:55:02,-97
0.037396907806396484,C0:1C:4D:46:EE:85,-93
0.05096173286437988,C0:1C:4D:47:40:A3,-91
0.07619619369506836,C0:1C:4D:44:32:56,-73
0.09426236152648926,C0:1C:4D:46:4B:57,-81
0.09620928764343262,C0:1C:4D:47:C8:BD,-92
0.1045234203338623,C0:1C:4D:44:35:40,-85
0.10661602020263672,C0:1C:4D:47:67:94,-84
0.12073826789855957,C0:1C:4D:47:C6:F6,-93
0.13672423362731934,C0:1C:4D:46:EE:85,-94
0.15341472625732422,C0:1C:4D:47:40:A3,-94
0.16884541511535645,C0:1C:4D:47:CF:0A,-89
0.18136334419250488,C0:1C:4D:44:32:56,-77
0.1973893642425537,C0:1C:4D:46:4B:57,-82
0.1990656852722168,C0:1C:4D:47:C8:BD,-93
0.20282602310180664,C0:1C:4D:44:35:40,-84
0.2043769359588623,C0:1C:4D:47:67:94,-84
0.22958707809448242,C0:1C:4D:47:C6:F6,-94
0.23145794868469238,C0:1C:4D:45:55:02,-99
0.24881982803344727,C0:1C:4D:45:EA:E6,-96
0.25008630752563477,C0:1C:4D:46:EE:85,-95
0.2752566337585449,C0:1C:4D:47:CF:0A,-89
0.28376030921936035,C0:1C:4D:46:C1:DB,-98
0.31000304222106934,C0:1C:4D:46:4B:57,-82
0.3112471103668213,C0:1C:4D:44:35:40,-82
0.31261587142944336,C0:1C:4D:47:67:94,-84
0.3312859535217285,C0:1C:4D:47:C6:F6,-92
0.3823988437652588,C0:1C:4D:47:CF:0A,-87
0.41546010971069336,C0:1C:4D:44:35:40,-81
0.43459630012512207,C0:1C:4D:47:67:94,-84
0.4584009647369385,C0:1C:4D:47:C6:F6,-92
0.4902193546295166,C0:1C:4D:47:CF:0A,-85
0.4917731285095215,C0:1C:4D:44:32:56,-81
0.5270752906799316,C0:1C:4D:47:67:94,-86
0.5429069995880127,C0:1C:4D:47:C6:F6,-91
0.5696086883544922,C0:1C:4D:44:6F:F0,-92
